Club|Last Name|First Name|Pos|Base Salary|Compensation
NY|Abang|Anatole|F|50000|50000
KC|Abdul-Salaam|Saad|D|60000|73750
CHI|Accam|David|F|650000|720937.5
DAL|Acosta|Kellyn|M|60000|84000
VAN|Adekugbe|Samuel|D|60000|65000
POR|Adi|Fanendo|F|651500|664000
CLB|Afful|Harrison|D|150000|150000
NE|Agudelo|Juan|F|400000|427500
DC|Aguilar|Miguel|M|60000|60000
DAL|Akindele|Tesho|F|70000|87500
SJ|Alashe|Fatai|M|60000|76250
HOU|Alex||M|142000|142000
MTL|Alexander|Eric|M|140000|153750
NYCFC|Allen|RJ|D|60000|60000
RSL|Allen|Jordan|M/F|80000|90000
SEA|Alonso|Osvaldo|M|748000|789667
NE|Alston|Kevin|D|140000|158333.33
TOR|Altidore|Jozy|F|4750000|4750000
COL|Alvarez|Carlos|M|70000|70000
NYCFC|Alvarez|Pablo|M|60000|63045.09
SJ|Amarikwa|Quincy|F|100000|100000
KC|Anibaba|Jalil|D|120000|150000
KC|Anor|Bernardo|M|135000|135000
TOR|Aparicio|Manuel|M|60000|60000
PHI|Aristeguieta|Fernando|F|350004|350004
DC|Arnaud|Davy|M|212500|212500
DC|Arrieta|Jairo|F|150000|165000
ORL|Ashe|Corey|M|180000|189750
POR|Asprilla|Dairon|F|60000|60000
RSL|Attinella|Jeff|GK|60000|65083.33
ORL|Avila|Eric|M|72000|77000
PHI|Ayuk|Eric|M|50000|50000
SEA|Azira|Michael|D|60000|62826.88
COL|Badji|Dominique|F|50000|50000
NYCFC|Ballouchy|Mehdi|M|68250|83250
HOU|Barnes|Giles|M|247500|258375
NE|Barnes|Darrius|D|95000|101666.67
PHI|Barnetta|Tranquillo|M|624000|661500
SJ|Barrera|Leandro|F|60000|60000
SEA|Barrett|Chad|F|95000|100000
DAL|Barrios|Michael|M|60000|60000
CLB|Barson|Chad|D|60000|60000
HOU|Beasley|DaMarcus|D|750000|813333.33
RSL|Beckerman|Kyle|M|625000|700000
ORL|Bedell|Adam|F|60000|60000
SEA|Bedinelli|Thomas|M|108000|133125
VAN|Beitashour|Steven|D|190000|197166.67
MTL|Bekker|Kyle|M|61765|88015
RSL|Beltran|Anthony|D|195000|205950
TOR|Bendik|Joe|GK|150000|157375
SJ|Bernardez|Victor|D|200000|241600
COL|Berner|John|GK|60000|60000
MTL|Bernier|Patrice|F-M|90000|135000
PHI|Berry|Austin|D|93519|108519
KC|Besler|Matt|D|650000|683250
POR|Besler|Nick|M|65000|81250
SJ|Bingham|David|GK|130000|137750
PHI|Bird|Eric|M|60000|60000
DC|Birnbaum|Steven|D|66000|96000
MTL|Bitolo|Ambroise|D|100000|100000
PHI|Blake|Andre|GK|85000|123000
TOR|Bloom|Mark|D|90000|97348.89
ORL|Boden|Luke|D|75000|75000
HOU|Boniek Garcia|Oscar|F|245000|303750
TOR|Bono|Alex|GK|60000|80200
POR|Borchers|Nat|D|235000|245000
DC|Boswell|Bobby|D|200000|200000
TOR|Bradley|Michael|M|6000000|6500000
NYCFC|Brandt|Connor|M|50000|50000
NYCFC|Brovsky|Jeb|M|122500|129125
HOU|Bruin|Will|F|140000|185000
CHI|Bryce|Kingsley|M|50000|50000
LA|Buddle|Edson|F|100000|106250
NE|Bunbury|Teal|F|195000|240000
COL|Burch|Marc|D|110000|110000
COL|Burling|Bobby|D|132500|140000
CHI|Busch|Jon|GK|85000|90000
MTL|Bush|Evan|GK|100000|100000
VAN|Bustos|Marco|M|50000|54850
MTL|Cabrera|Victor|D|60000|60000
NE|Caldwell|Scott|M|60000|67500
NYCFC|Calle|Javier|M|200000|225750
COL|Calvert|Caleb|F|65000|72500
MTL|Camara|Hassoun|D/M|235000|246625
CLB|Campbell|Sergio|D/M|50000|52500
VAN|Carducci|Marco|GK|60000|60000
ORL|Carrasco|Servando|M|80750|85375
PHI|Carreiro|Fred|M|60000|60000
PHI|Carroll|Brian|M|150000|150000
ORL|Cascio|Tony|M|78529|112279
PHI|Casey|Conor|F|180000|180000
NY|Castano|Santiago|GK|60000|60000
DAL|Castillo|Fabian|F|145000|160000
PHI|Catic|Dzenan|F|60000|75000
SJ|Cato|Cordell|F|60000|60000
ORL|Ceren|Darwin|M|66000|96437.5
TOR|Chapman|Jay|M|70000|88500
POR|Chara|Diego|M|170000|170000
TOR|Cheyrou|Benoit|M|249999.96|259333.29
MTL|Ciman|Laurent|D|370000|401666.67
DAL|Cirigliano|Ezequiel|M|124999.92|167999.92
CLB|Clark|Steve|GK|170000|188333.33
HOU|Clark|Ricardo|M|304000|337750
VAN|Clarke|Caleb|F|60000|60000
HOU|Cochran|AJ|D|60375|76375
CHI|Cochrane|Greg|D|60000|60000
CHI|Cocis|Razvan|M|220000|226666.67
ORL|Collin|Aurelien|D|500000|525000
MTL|Cooper|Kenny|F|220000|285625
DC|Coria|Facundo|M|60000|70375
SEA|Correa|Andres|D|60000|68166.67
DAL|Craft|Coy|F|60000|77083.33
SEA|Craven|Andy|F|60000|60000
PHI|Creavalle|Warren|D|108500|119000
MTL|Crepeau|Maxime|GK|60000|60000
COL|Cronin|Sam|M|200000|202500
PHI|Cruz|Danny|M|125000|131666.67
CHI|Cyrus|Daneil|D|72000|77833.33
NE|Davies|Charlie|F|78750|82759.53
HOU|Davis|Brad|M|400000|445500
NY|Davis|Sean|M|80000|97500
KC|de Jong|Marcel|D|180000|191500
VAN|Dean|Christian|D|95000|176000
LA|DeLaGarza|AJ|D|200000|202500
DC|DeLeon|Nick|M|116259|151259
TOR|Delgado|Marco|M|80000|82500
SEA|Dempsey|Clint|F|3913008|4605941.5
HOU|Deric|Tyler|GK|105000|112666.67
KC|Dia|Amadou|D|50000|50000
DAL|Diaz|Mauro|M|364000|442400
|Dike|Bright|F|60638|64388
NYCFC|Diskerud|Mix|M|750000|750000
MTL|Donadel|Marco|M|190003.92|226670.59
ORL|Donovan|Conor|D|80000|108000
CHI|Doody|Patrick|D|50000|50000
NE|Dorman|Andy|M|145000|145000
LA|Dos Santos|Giovani|M|4000008|5750008
COL|Doyle|Kevin|F|1125000|1170000
DC|Doyle|Conor|F|60000|61250
MTL|Drogba|Didier|F|1666668|2166668
MTL|Duka|Dilaver|M|175000|200000
LA|Dunivant|Todd|D|185000|205750
NY|Duvall|Chris|D|60000|60000
KC|Dwyer|Dom|F|400000|518750
DC|Dykstra|Andrew|GK|60000|60000
DAL|Earle|Otis|D|60000|77125
VAN|Earnshaw|Robert|F|100000|100000
PHI|Edu|Maurice|M|700000|768750
ORL|Edwards|Earl|GK|50000|50000
KC|Ellis|Kevin|D|60000|63150
COL|Eloundou|Charles|F|60000|65000
SJ|Emeghara|Innocent|F|988000|1300000
DAL|Escobar|Rolando|M|180000|185000
DC|Espindola|Fabian|F|175000|175000
KC|Espinoza|Roger|M|750000|750000
SEA|Evans|Brad|F|276665|302666.25
PHI|Fabinho|Fabinho|D|114000|118500
NYCFC|Facey|Shay|D|120000|120000
NE|Fagundez|Diego|F|125000|152200
DC|Farfan|Michael|M|120000|120000
NE|Farrell|Andrew|D|117500|198500
KC|Feilhaber|Benny|M|350000|362187.5
PHI|Fernandes|Leo|M|60000|60000
CHI|Fernandez|Collin|M|65000|67000
RSL|Fernandez|Eduardo|GK|60000|60000
COL|Figueroa|Maynor|D|99996|99996
CHI|Filho|Adailton|D|200000|244500
TOR|Findley|Robbie|F|225000|255500
CLB|Finlay|Ethan|F|135000|142500
SEA|Fisher|Oniel|D|50000|50000
VAN|Flores|Deybi|M|60000|60000
POR|Fochive|George|M|50000|50000
ORL|Ford|Josh|GK|60000|60000
CLB|Francis|Waylon|D|144000|170166.67
SJ|Francis|Shaun|D|60000|62940.32
DC|Franklin|Sean|D|202500|234166.67
SEA|Frei|Stefan|GK|165000|165000
SEA|Friberg|Erik|M|180000|202500
VAN|Froese|Kianz|M-F|60000|64500
SJ|Fucito|Michael|MF|60638|63527.8
PHI|Gaddis|Raymon|D|130000|132500
MTL|Gagnon-Lapare|Jeremy|M|60000|64000
CLB|Gall|Romain|M|60000|63420.08
DAL|Garcia|Danny|M|70000|86000
LA|Garcia|Rafael|M|60000|60000
RSL|Garcia|Olmes|F|130000|130000
LA|Gargan|Dan|D|125000|125000
HOU|Garrido|Luis|M|150000|150000
CHI|Gehrig|Eric|M|95000|100833.33
CLB|George|Kevan|M|60000|60000
LA|Gerrard|Steven|M|6200004|6332504
RSL|Gil|Luis|M|240000|335083.33
TOR|Giovinco|Sebastian|M|5600000|7115555.67
RSL|Glad|Justen|D|60000|71000
POR|Gleeson|Jake|GK|72600|72600
SJ|Godoy|Anibal|M|204000|204000
SJ|Gomez|Tomas|GK|50000|50000
TOR|Gomez|Herculez|F|240000|261000
NE|Goncalves|Jose|D|450000|479375
TOR|Goncalves|Jackson|D|165000|192500
DAL|Gonzalez|Jesse|GK|60000|69375
LA|Gonzalez|Omar|D|1200000|1450000
SEA|Gonzalez|Leonardo|D|165000|165000
SJ|Goodson|Clarence|D|315000|342000
LA|Gordon|Alan|F|175000|175000
NYCFC|Grabavoy|Ned|M|200000|215000
COL|Greenspan|Joseph|D|50000.04|50000.04
NY|Grella|Mike|F|60000|60000
TOR|Hagglund|Nick|D|60000|60000
COL|Hairston|Marlon|M|80000|103000
NE|Hall|Jeremy|D|70000|70000
ORL|Hall|Tally|GK|215000|228500
KC|Hallisey|Connor|M|60000|73750
DC|Halsti|Markus|M|275000|336833.33
DC|Hamid|Bill|GK|360000|405500
TOR|Hamilton|Jordan|F|63000|75500
CHI|Harden|Ty|D|71663|75078.2
COL|Harrington|Michael|M-D|130000|130000
DAL|Harris|Atiba|M-F|130000|130000
VAN|Harvey|Jordan|D|150000|150000
ORL|Heath|Harrison|M|60000|60000
DAL|Hedges|Matt|D|135000|135000
NE|Herivaux|Zachary|M|60000|60000
DAL|Hernandez|Moises|D|60000|61625
NYCFC|Hernandez|Jason|D|175000|185000
CLB|Higuain|Federico|M-F|1175000|1175000
ORL|Higuita|Cristian|M|60000|60000
ORL|Hines|Sebastian|D|108576|109826
HOU|Hoffman|Chandler|F|60000|60000
DAL|Hollingshead|Ryan|M|60000|60000
PHI|Hoppenot|Antoine|F|60000|60000
HOU|Horst|David|D|78750|81500
HOU|Hunter|Taylor|D|50000|50000
VAN|Hurtado|Erik|F/M|78265|113265
|Hurtado|Jhon Kennedy|D|230000|230000
LA|Husidic|Baggio|M|125000|125000
CHI|Igboananike|Kennedy|F|800000|901666.67
NYCFC|Iraola|Andoni|D|200004|200004
COL|Irwin|Clint|GK|85000|97000
SEA|Ivanschitz|Andreas|M|180000|201250
MTL|Jackson-Hamel|Anthony|F|60000|60000
NYCFC|Jacobson|Andrew|M|150000|150000
SJ|Jahn|Adam|F|60000|60000
RSL|Jaime|Sebastian|F|200000|266666.67
LA|Jamieson|Bradford|F|60000|60000
DC|Jeffrey|Jared|M|68250|74450
POR|Jewsbury|Jack|D|120000|137500
CLB|Jimenez|Hector|M|90000|90000
NYCFC|Johansen|Eirik|GK|50000.04|50000.04
CHI|Johnson|Jason|F|90000|131000
CHI|Johnson|Sean|GK|250000|253000
POR|Johnson|Will|F|314000|334333.33
CHI|Jones|Joevin|M|60000|66166.67
NE|Jones|Jermaine|M|2800000|3052500
SEA|Jones|Darwin|F|60000|66250
LA|Juninho||M|350000|350000
CHI|Junior|Gilberto|F|1144992|1144992
VAN|Kah|Pa Modou|D|170000|170000
ORL|Kaka||M|6660000|7167500
CLB|Kamara|Kei|F|400000|536666.67
CHI|Kann|Alec|GK|60000|60000
TOR|Kantari|Ahmed|D|300000|345000
RSL|Kavita|Phanuel|D|50000|50000
LA|Keane|Robbie|F|4500000|4500000
DAL|Keel|Stephen|D|60000|60000
DC|Kemp|Taylor|D|60000|60000
KC|Kempin|Jonathan|GK|85000|92083.33
DAL|Kennedy|Dan|GK|233000|233000
DC|Kitchen|Perry|D|172000|257450
NY|Kljestan|Sacha|M|400000|537500
CLB|Klute|Chris|D|82500|87802.09
NE|Knighton|Brad|GK|82005|82005
NE|Kobayashi|Daigo|M|135000|146666.67
VAN|Koffie|Gershon|M|230000|241000
TOR|Konopka|Chris|GK|66000|66000
